岗位名称,薪资待遇,实习时长,工作描述,学历要求,招聘人数,发布时间,公司名称,公司规模,工作地点,企业领域
宴会厅咨客,面议,6个月,1.了解宴会会议的规格，按照规程，并热情接待 ,大专,2,2024-05-13 11:54,深圳邦芒,101~300人,广东,咨询/法律/人力资源
中餐厅服务员（实习生）,面议,6个月,1.在主管的领导下进行工作安排，按餐厅服务工作规程和质量要求，做好接待工作 ,大专,25,2024-05-13 11:55,深圳邦芒,101~300人,广东,咨询/法律/人力资源
渠道运营助理,100-120元/天,2个月,1. 数据收集、归档、统计及跟进；,不限,1,2024-05-07 11:44,光亚法兰克福,11~50人,广东,广告|传媒|文化|体育
Academic Assistant 教务部门助理,100-150元/天,4个月,Description:,本科,1,2024-05-14 11:10,SK商学院,11~50人,江苏,教育培训
Tiktok推广实习生（尽快到岗）,120-150元/天,3个月,【岗位职责】,本科,3,2024-05-08 16:02,广州海尔HotOEM,51~100人,广东,互联网|游戏|软件
售后客户技术支持,150-160元/天,6个月,1、为付费客户提供售后服务，通过电话、服务群、线上沟通等方式解决客户在产品使用上的各类问题；,本科,1,2024-05-14 10:35,智齿科技,301~1000人,北京,互联网|游戏|软件
行业研究实习生,150-200元/天,3个月,1、协助开展AI行业案头研究、数据收集、分析及整理等工作，并配合撰写PPT或事务性文档；,本科,1,2024-05-10 10:57,兔展,301~1000人,广东,互联网|游戏|软件
导演助理,面议,2个月,1、根据节目内容需求进行初步调研、资料搜集整理，协助导演进行相关方案撰写,本科,5,2024-05-15 13:35,云集将来,11~50人,上海,广告|传媒|文化|体育
市场部实习生/MKT Intern - PR,面议,3个月,Mission:,本科,1,2024-04-30 11:54,Theory,301~1000人,上海,快速消费品
电商实习生/E-Commerce Intern,面议,3个月,品牌电商运营部门,本科,1,2024-04-30 11:53,Theory,301~1000人,上海,快速消费品
市场部实习生/MKT Intern - CRM,面议,3个月,1. 协助跟进会员活动营销，准备短信/彩信文案和素材及发送 ,本科,1,2024-04-30 11:51,Theory,301~1000人,上海,快速消费品
陈列部实习生/VM Intern,面议,3个月,1.负责KOS直播视频拍摄,本科,1,2024-04-30 11:51,Theory,301~1000人,上海,快速消费品
商品部实习生/MD Intern,面议,3个月,1.   负责日常商品部报表更新，数据整理工作,本科,1,2024-04-30 11:50,Theory,301~1000人,上海,快速消费品
财务部实习生/Finance Intern,面议,3个月,1. 打印银行流水，回单，对账单等,本科,1,2024-04-30 11:48,Theory,301~1000人,上海,快速消费品
行政实习生/ HR Intern,面议,3个月,1. 对来访客人做好接待、登记、引导工作，及时通知被访人员；,本科,1,2024-04-30 11:45,Theory,301~1000人,上海,快速消费品
企业文化实习生/Admin Intern- Corporate Culture,200-240元/天,3个月,-负责公司文化活动（如节日庆祝活动）的策划和执行，包括活动策划、文案撰写、物料准备、落地实施等；,大专,1,2024-04-30 10:46,Theory,301~1000人,上海,快速消费品
AE 客户执行,140-150元/天,长期,1、辅助品牌及竞品research日常执行工作 ；,本科,3,2024-05-16 15:36,博伽文化,11~50人,上海,广告|传媒|文化|体育
行业研究分析实习生,80-150元/天,3个月,1. 协助目标行业与标杆企业相关资料及数据的快速收集与整理分析；,本科,5,2024-05-13 10:08,鼎帷咨询,11~50人,北京,咨询/法律/人力资源
达播BD助理（Intern）,140-150元/天,长期,1.与抖音/小红书等直播渠道的合作达人，建立长期合作关系；,大专,2,2024-05-11 13:29,博伽文化,11~50人,上海,广告|传媒|文化|体育
市场经理实习生,180-240元/天,3个月,工作内容: ,本科,1,2024-05-15 15:14,希格斯投资,11~50人,浙江,金融
全栈策略工程师,490-500元/天,3个月,1、开发与优化模型研究、回测等过程中使用的工具框架和系统平台；,本科,1,2024-05-15 15:14,希格斯投资,11~50人,浙江,金融
管理研究实习生,80-150元/天,3个月,1. 协助企业人才发展、组织管理等领域相关理论、工具、标杆企业实操案例研究。,本科,5,2024-05-13 10:08,鼎帷咨询,11~50人,北京,咨询/法律/人力资源
银行风控专员,150-300元/天,6个月,【民生银行控股子公司、朝九晚六、周末双休】,大专,5,2024-05-11 15:51,鸿泰鼎石,101~300人,湖北,互联网|游戏|软件
实习课程顾问,150-200元/天,6个月,职位职责：,本科,10,2024-05-16 18:46,睿知文峰,51~100人,北京,教育培训
财务实习生,120-150元/天,3个月,1、协助财务主管完成日常账务处理；,本科,1,2024-05-13 12:01,STANLEY,11~50人,广东,咨询/法律/人力资源
媒介Intern,140-150元/天,长期,1、基于产品特性与所投放社媒渠道内容偏好，筛选优质带货网红，完成内容合作沟通.执行.（包括但不限于小红书.快手.B站.抖音.双微等社媒内容平台的kol投放及达人直播开发合作等）,大专,3,2024-05-16 15:37,博伽文化,11~50人,上海,广告|传媒|文化|体育
人事实习生,100-150元/天,3个月,1. 结合公司的战略发展需求，制定人力资源发展规划，合理调配公司的人力资源；,大专,2,2024-05-15 07:02,润普网络,101~300人,广东,互联网|游戏|软件
行政实习生,120-150元/天,6个月,1、行政事务工作操作,本科,1,2024-05-16 15:37,博伽文化,11~50人,上海,广告|传媒|文化|体育
人力资源与运营实习生,60-120元/天,3个月,人力资源【40%】,本科,2,2024-05-13 10:08,鼎帷咨询,11~50人,北京,咨询/法律/人力资源
产业地产投资咨询实习生,100-150元/天,6个月,1、参与专业的产业地产选址顾问服务，包括地块信息收集、产业项目招商政策整理、业务资料维护、数据分析等；,本科,2,2024-05-12 09:41,承沣行,11~50人,广东,金融
财务实习生,120-150元/天,3个月,1、协助财务主管完成日常账务处理；,本科,1,2024-05-11 17:04,STANLEY,11~50人,北京,咨询/法律/人力资源
游戏平面设计师（2025届）,130-170元/天,3个月,1、负责游戏项目的市场推广图设计（包括但不限于广告图、落地页、icon、logo等）；,本科,1,2024-05-13 19:24,广州速游,101~300人,广东,互联网|游戏|软件
商务助理实习生,120-150元/天,2个月,工作内容：,本科,2,2024-05-16 18:48,睿知文峰,51~100人,北京,教育培训
见习海外市场工程师,100-200元/天,3个月,1.负责公司产品的销售及推广；,大专,1,2024-05-08 16:10,格林电工,101~300人,江苏,能源|环保
电气工程师助理,100-200元/天,3个月,参与企业产品电气设计的技术参数确认与制定、参与电气图纸校核审定等其他电气相关工作,大专,1,2024-05-08 16:10,格林电工,101~300人,江苏,能源|环保
见习销售工程师,100-200元/天,6个月,1.负责公司产品的销售及推广；,大专,1,2024-05-08 16:09,格林电工,101~300人,江苏,能源|环保
招聘实习生,3-6K/月,3个月,你的任务：,本科,3,2024-04-29 21:31,货拉拉,3001人及以上,广东,互联网|游戏|软件
COE招聘实习生,150-200元/天,3个月,你的任务：,本科,3,2024-04-29 21:31,货拉拉,3001人及以上,广东,互联网|游戏|软件
基金部实习生,100-120元/天,3个月,1、参与基金设立、投资者沟通访谈，撰写会议纪要,本科,2,2024-05-06 16:12,梧桐树资本,11~50人,北京,金融
投资部实习生,100-120元/天,3个月,1. 开展市场及行业研究，深入了解行业现状，判断行业走势；,本科,2,2024-05-06 16:12,梧桐树资本,11~50人,北京,金融
新材料投资实习生,150-200元/天,3个月,1. 开展市场及行业研究，深入了解行业现状，判断行业走势；,本科,2,2024-05-06 16:12,梧桐树资本,11~50人,北京,金融
人力实习生,面议,2个月,岗位要求：,本科,1,2024-04-29 09:57,安捷物联,301~1000人,天津,能源|环保
校园大使（线上）,面议,1个月,1.校园推广：通过各种渠道和方法（社群、朋友圈），进行信息传播。,本科,20,2024-05-08 09:50,刺猬 CIWEI,51~100人,广东,互联网|游戏|软件
大数据分析师（实习）,100-200元/天,2个月,1、参与执行研究院大数据研究项目，参与项目对接、设计、推进、维护，对接大数据支持技术团队，有效推进数据与研究整合。,硕士,5,2024-04-29 09:12,国研大数据研究院,51~100人,北京,IT|通信|电子
店铺支援部实习生Retail Operation Support Intern,200-240元/天,3个月,该岗位base在总部,本科,1,2024-04-28 11:48,Theory,301~1000人,上海,快速消费品
公考面试题库运营实习生,100-120元/天,6个月,1.负责公务员面试题库产品日常管理、维护等相关后台操作；,本科,2,2024-05-08 15:28,粉笔蓝天,3001人及以上,北京,教育培训
投资助理,100-150元/天,3个月,1.协助投资经理完成尽调报告的撰写；,本科,2,2024-05-08 15:17,佑鸿资产,11~50人,上海,金融
商务渠道助理,100-180元/天,6个月,1、寻求潜在的合作客户；,本科,2,2024-05-08 15:17,佑鸿资产,11~50人,上海,金融
产品运营助理,130-150元/天,3个月,1、协助部门跟进各类产品进度；,本科,2,2024-05-08 15:17,佑鸿资产,11~50人,上海,金融
产品经理助理,140-250元/天,长期,【岗位职责】,本科,1,2024-05-07 16:39,元能星泰,11~50人,广东,互联网|游戏|软件
人力资源实习生,100-120元/天,3个月,工作职责,本科,1,2024-04-26 17:29,科大讯飞,3001人及以上,广东,互联网|游戏|软件
店铺支援部实习生Retail Operation Support Intern,200-240元/天,3个月,该岗位base在总部,本科,1,2024-04-26 16:20,Theory,301~1000人,上海,快速消费品
【某部委直属事业单位实习生需求】,80-160元/天,3个月,1.协助处室同事收集国际新闻、产业政策文件；2.在国际经济合作、国际产能合作、对外投资等方面开展研究和分析，收集并整理相关数据；3.翻译相关政策文件。,本科,3,2024-04-26 10:23,百度,3001人及以上,北京,互联网|游戏|软件
百度智能云市场策略分析实习生（3名）,120-200元/天,3个月,1、工作职责：,本科,3,2024-04-26 10:22,百度,3001人及以上,北京,互联网|游戏|软件
百度智能云市场营销实习生,120-200元/天,3个月,百度智能云市场营销实习生（需求3名）,本科,3,2024-04-26 10:21,百度,3001人及以上,北京,互联网|游戏|软件
行政实习生（6月份）,3000-3500K/月,1个月,岗位职责：,大专,1,2024-04-26 09:42,正帆科技,301~1000人,上海,能源|环保
财务实习生,100-150元/天,3个月,1、 了解财务的相关工作内容，协调处理好银行、税务等各部门的工作关系；,大专,2,2024-05-06 06:59,润普网络,101~300人,广东,互联网|游戏|软件
Electrical Engineering实习生,200-300元/天,2个月,主要职责：,本科,20,2024-04-26 20:38,行动元,51~100人,广东,互联网|游戏|软件
远程在线-猎头顾问助理实习生,100-120元/天,3个月,汽车制造、自动驾驶、医疗健康、智慧城市建设等行业,本科,2,2024-05-09 16:33,北京永华中道管理咨询有限公司,11~50人,北京,咨询/法律/人力资源
硬件实习生,130-200元/天,3个月,【工作职责】,本科,3,2024-04-25 20:30,经纬恒润,3001人及以上,北京,汽车|机械|制造
投资助理,145-160元/天,3个月,岗位职责：,本科,2,2024-05-16 10:43,接力连筹,11~50人,上海,互联网|游戏|软件
后期动画合成,25-50元/天,3个月,岗位职责,大专,2,2024-05-16 17:01,火烈鸟文化,51~100人,湖南,广告|传媒|文化|体育
综艺后期实习生,25-50元/天,3个月,1、辅助剪辑师，参与素材转码合板、机位对接、素材整理；辅助交播出片；使用PR、PS等软件；,本科,10,2024-05-16 17:01,火烈鸟文化,51~100人,湖南,广告|传媒|文化|体育
采购实习生,150-180元/天,6个月,职位描述：,本科,1,2024-05-14 10:15,博世,301~1000人,广东,汽车|机械|制造
招聘HR实习生,100-120元/天,3个月,1、通过招聘网站、人际网络、内部推荐等渠道快速获取合适候选人并独立完成HR沟通及人才甄别,本科,5,2024-04-25 14:39,康龙化成,3001人及以上,北京,生物|医药
招聘HR实习生,120-160元/天,3个月,1、通过招聘网站、人际网络、内部推荐等渠道快速获取合适候选人并独立完成HR沟通及人才甄别,本科,5,2024-04-25 14:39,康龙化成,3001人及以上,北京,生物|医药
品宣实习生,面议,3个月,参与协助基金公司品牌负责人进行新媒体运营、宣传材料制作等工作。,本科,1,2024-04-25 09:39,东海基金,51~100人,上海,金融
品牌宣传运营实习生,面议,3个月,参与协助研究所新媒体运营、宣传材料设计等工作，主要包括：,本科,1,2024-04-25 09:39,东海基金,51~100人,上海,金融
视觉设计实习生-支持线上实习,面议,3个月,1.负责配合运营提供的文案进行排版，美化图片，独立完成日常设计工作；,本科,3,2024-04-25 09:39,东海基金,51~100人,上海,金融
音乐生成算法实习生,150-200元/天,3个月,1、为音乐、音频算法模型提供标注数据支持，对指定音乐、音频内容进行标注与质检,硕士,1,2024-05-10 14:20,腾讯音乐,1001~3000人,广东,互联网|游戏|软件
新媒体运营实习生,120-150元/天,3个月,【工作内容】,不限,1,2024-05-13 18:25,腾讯音乐,1001~3000人,广东,互联网|游戏|软件
导学师,140-150元/天,长期,1、根据培养计划，学习招生增长、客户沟通、教学交付、班级运营、续报留存等一线业务工作，熟悉导学师业务,本科,15,2024-05-14 13:36,爱学习教育集团,1001~3000人,北京,教育培训
课堂助教,149-150元/天,长期,1、根据培养计划，学习招生增长、客户沟通、教学交付、班级运营、续报留存等一线业务工作，熟悉导学师业务,本科,15,2024-05-14 13:57,爱学习教育集团,1001~3000人,北京,教育培训
教育博主实习/兼职（线上工作）,3-6K/月,长期,1. 需要自带新媒体账号（平台不限于小红书、抖音、知乎、B站、微博、校内论坛等）。,本科,10,2024-05-17 09:29,美孜国际教育,51~100人,浙江,教育培训
乘警安全员,4-8K/月,3个月,招聘要求：,不限,65,2024-05-16 08:36,河北铁运铁路,11~50人,河北,交通|物流|贸易
人力资源项目助理实习生,100-120元/天,3个月,驱动（DriveTOP）管理咨询是国内能力素质模型研究和应用的领导者，业务聚焦在能力素质建模、能力素质评价工具开发、能力培养与发展体系建立及配套运行机制等方面，为企业甄选优秀人才和大规模培养复制优秀人才提供清晰而准确的指导。公司总部位于上海，业务辐射全国，其中，全球 500 强和国有大中型企业是驱动的主要服务客户。迄今为止，在综合实力行业排名前三位的企业中，都有驱动的重 要服务客户，包括：飞利浦、西门子、联合利华、马士基物流、通用汽车、平安保险、华为、广州移动、四川电信、国家电网等,本科,100,2024-05-16 18:28,驱动咨询,51~100人,上海,咨询/法律/人力资源
咨询实习生,150-180元/天,3个月,1.研究性职责：收集咨询领域的政策、文献，梳理与咨询项目相关的资料与数据，分析内外部资料，形成咨询观点。,本科,5,2024-05-16 13:46,菁正咨询,11~50人,北京,咨询/法律/人力资源
乘警安全员,4-8K/月,3个月,招聘要求：,不限,65,2024-05-16 08:36,河北铁运铁路,11~50人,河北,交通|物流|贸易
HRBP实习生,4-6K/月,6个月,1、【活动组织运营】根据研发中心的活动、福利政策，组织开展各类活动并根据公司要求进行费用统计及报销事宜;,本科,3,2024-04-25 16:23,竹芒科技,3001人及以上,广东,互联网|游戏|软件
迪卡侬官网小程序运营实习生-上海,176-200元/天,4个月,-负责更新类目信息页面，保证提供准确丰富的商品页面以实现线上自助购物；,本科,1,2024-04-24 18:14,迪卡侬,3001人及以上,上海,快速消费品
总部暑期实习-项目管理实习生-保险数字化平台方向,120-121元/天,2个月,1、参与到友邦人寿营销员渠道各类创新数字化项目的推进中；,本科,2,2024-04-24 15:11,友邦人寿,3001人及以上,上海,金融
总部暑期实习-产品经理实习生-保险数字化平台方向,120-121元/天,2个月,1、协助产品经理根据数字化平台产品特性进行行业分析和用户访问调研；,本科,2,2024-04-24 15:10,友邦人寿,3001人及以上,上海,金融
总部暑期实习-运营企划实习生-Gen-AI创新运营方向,120-121元/天,2个月,1、参与并协助进行用户需求及痛点的调研及分析；,本科,2,2024-04-24 15:10,友邦人寿,3001人及以上,上海,金融
总部暑期实习-另类投资与产品管理部实习生-非标资产投资方向,120-121元/天,2个月,1、搜集和整理市场数据和行业信息并协助参与项目可行性研究分析；,本科,2,2024-04-24 15:10,友邦人寿,3001人及以上,上海,金融
总部实习生-法律部实习生-诉讼纠纷处理方向,120-121元/天,2个月,1、 各类纠纷案件的处理提供法律协助；,本科,2,2024-04-24 15:10,友邦人寿,3001人及以上,上海,金融
总部暑期实习-财务实习生-流程优化与自动化方向,120-121元/天,2个月,1、通盘了解并基本掌握保险行业的基础财务处理规则，并完成对应的岗位交付；,本科,2,2024-04-24 15:09,友邦人寿,3001人及以上,上海,金融
总部暑期实习-数据质量分析实习生-人力资源数据方向,120-121元/天,2个月,1、设计并开发软件或Excel工具，用于分析、清洗和验证人力资源数据维护的准确性和完整性；,本科,2,2024-04-24 15:09,友邦人寿,3001人及以上,上海,金融
总部暑期实习-人力资源实习生-资产管理中心人才支持方向,120-121元/天,2个月,1、协助业务团队明确和细化用人需求，协助进行系统流程推进，协调面试全流程；,本科,2,2024-04-24 15:09,友邦人寿,3001人及以上,上海,金融
分公司暑期实习-个险渠道实习生-产品推动方向,120-121元/天,2个月,1.支持具体产品营销推动方案的宣导与落地，并定期进行效果追踪；,本科,2,2024-04-24 15:09,友邦人寿,3001人及以上,上海,金融
分公司暑期实习-个险渠道实习生-业务发展方向,120-121元/天,2个月,1.协助策划营销员业务竞赛及推动方案，助力业务达成；,本科,2,2024-04-24 15:09,友邦人寿,3001人及以上,上海,金融
分公司暑期实习-个险渠道实习生-营销企划方向,120-121元/天,2个月,1.支持各类大型客户活动及营销员竞赛的策划与落地，助力业务达成；,本科,2,2024-04-24 15:09,友邦人寿,3001人及以上,上海,金融
分公司暑期实习-个险渠道实习生-业务培训方向,120-121元/天,2个月,1.结合线上下资源，支持营销员培训计划，提升营销员团队专业素质与业务能力；,本科,2,2024-04-24 15:08,友邦人寿,3001人及以上,上海,金融
分公司暑期实习-个险渠道实习生-人力发展方向,120-121元/天,2个月,1.配合搭建营销员队伍组织体系，帮助业务团队高速发展；,本科,2,2024-04-24 15:08,友邦人寿,3001人及以上,上海,金融
信托助理实习生,70-120元/天,3个月,1、协助起草各类信托项目尽职调查报告、合同协议及相关事务； ,硕士,2,2024-04-24 14:17,大业信托,101~300人,广东,金融
人力资源实习生,70-120元/天,3个月,职责：,本科,1,2024-04-24 10:42,大业信托,101~300人,广东,金融
图文编辑,2-3K/月,6个月,工作内容：,本科,3,2024-05-04 16:04,万泛通,11~50人,江苏,互联网|游戏|软件
HRBP实习生,8-10K/月,4个月,1. 协助完成HRBP团队日常管理事项的信息收集、处理等数据分析工作；,本科,3,2024-04-28 14:23,DJI 大疆,3001人及以上,广东,汽车|机械|制造
音乐发行助理,120-150元/天,6个月,1. 统筹音乐版权合同流程，沟通内外部、确保协议顺利签署,不限,1,2024-05-09 15:40,腾讯音乐,1001~3000人,广东,互联网|游戏|软件
市场拓展部实习生,140-160元/天,4个月,1. VIP特邀买家邀约及采购对接会（电话/邮件/微信）;,大专,5,2024-05-09 14:40,cioe中国光博会,51~100人,广东,政府/非盈利机构/其他
软件实习生 SW实习生,100-150元/天,6个月,1. Understand the code of value stream operation system,大专,1,2024-05-08 16:50,博世,301~1000人,广东,汽车|机械|制造
品质检测实习生,100-150元/天,6个月,1. Support quality engineer to do quality tests and prepare the test report,大专,1,2024-05-08 16:50,博世,301~1000人,广东,汽车|机械|制造
APM Intern/审批实习生,100-150元/天,6个月,Responsibilities 工作职责：,本科,1,2024-05-08 16:50,博世,301~1000人,广东,汽车|机械|制造
研发部实习生（英语）,100-150元/天,6个月,Responsibilities 工作职责：,本科,1,2024-05-08 16:50,博世,301~1000人,广东,汽车|机械|制造
内容创作实习（可转正）,150-200元/天,3个月,1、协助编辑一起创作内容，以公号为载体，工作内容包括但不限于：选题、搜集资料和素材、采写故事；,本科,2,2024-05-09 12:29,新世相,301~1000人,北京,广告|传媒|文化|体育
管培生,200-250元/天,6个月,1.在各职能部门进行轮岗学习，以全面了解公司业务，包括但不限于人力资源，行政，财务，市场、销售、运营等；,硕士,10,2024-04-24 17:00,Actt,101~300人,四川,IT|通信|电子
仿真建模实习生-沈阳,130-200元/天,3个月,1、能够在导师的指导下完成Simulink相关的模块工作；,本科,2,2024-04-24 16:55,润科通用,301~1000人,北京,IT|通信|电子
媒介执行实习生,100-110元/天,3个月,1、落实跟进公司和各网站的合作关系；,本科,2,2024-04-29 18:56,VMLY&R,301~1000人,北京,广告|传媒|文化|体育
人事薪酬实习生,150-180元/天,5个月,实习期5个月+（也可以长期），无转正，150元/天+100元保密费/月。每周到岗3天以上，需要本地生源，因为公司无住宿提供。,本科,3,2024-04-30 14:34,外服薪数据,101~300人,上海,咨询/法律/人力资源
市场实习生,150-180元/天,5个月,实习期5个月+（也可以长期），无转正，150元/天+100元保密费/月。每周到岗3天以上，需要本地生源，因为公司无住宿提供。,本科,2,2024-04-30 14:27,外服薪数据,101~300人,上海,咨询/法律/人力资源
河南区域营销管培实习生,100-150元/天,长期,1、对区域销售进行多维度分析，协助上级制定商务、商控、连锁、医疗平台的产品和销售策略,本科,10,2024-04-23 14:41,华润三九,3001人及以上,广东,生物|医药
广告实习生,100-150元/天,3个月,1.常规策划案所需的资料整理及基础分析工作；,本科,5,2024-04-23 14:24,新意互动,301~1000人,广东,广告|传媒|文化|体育
人力资源实习生-可转正,120-150元/天,3个月,1.协助部门主管开展日常人事管理工作；,硕士,1,2024-04-23 12:12,味全,301~1000人,上海,快速消费品
人力资源实习生（在线办公）,80-120元/天,2个月,岗位概述：,大专,1,2024-04-23 10:07,中证鹏元,301~1000人,广东,金融
总裁办助理,2-3K/月,长期,1.协助总裁办领导接待重要合作伙伴和客户，维护关系促进合作进行,本科,2,2024-04-23 09:33,京溢科技,11~50人,北京,互联网|游戏|软件
PM实习生（可转正）,面议,3个月,【工作职责】,本科,1,2024-05-08 19:31,新世相,301~1000人,北京,广告|传媒|文化|体育
活动策划实习生,3-4K/月,3个月,1、为公司提供、团建活动、司庆活动、年会节庆活动解决方案：沟通上级需求->提供方案->促进合作->完成项目执行；,本科,2,2024-05-07 18:41,行云全球汇,1001~3000人,广东,多元化集团
湖南广播电视台茶频道 -直播运营实习生,面议,3个月,岗位职责：,本科,1,2024-04-26 11:30,快乐垂钓频道,101~300人,湖南,广告|传媒|文化|体育
软件工程师（图形）,150-250元/天,3个月,计算机图形学三维实时渲染、医学可视化等软件模块的研发、应用、更新维护优化,本科,2,2024-05-07 14:31,爱卓科技,11~50人,浙江,互联网|游戏|软件
新媒体宣传实习生,150-200元/天,6个月,岗位描述：,本科,1,2024-05-08 10:59,腾讯音乐,1001~3000人,广东,互联网|游戏|软件
计算机操作员,2-3K/月,3个月,1、电脑的软件的操作；,不限,5,2024-05-08 10:11,韦伯米塔,11~50人,四川,互联网|游戏|软件
软件测试实习生,90-100元/天,3个月,岗位职责：,本科,1,2024-04-22 17:30,科大讯飞,3001人及以上,广东,互联网|游戏|软件
空间运营-上海区域(25届）,面议,2个月,作为生活品味家，我们期待你,本科,5,2024-04-22 14:31,NIO蔚来,3001人及以上,上海,汽车|机械|制造
门店协同-上海区域(25届),面议,2个月,我们期待你,本科,5,2024-04-22 14:30,NIO蔚来,3001人及以上,上海,汽车|机械|制造
蔚来顾问-上海区域,面议,2个月,作为用户用车全流程的朋友，我们期待你,本科,5,2024-04-22 14:29,NIO蔚来,3001人及以上,上海,汽车|机械|制造
设计实习生,100-110元/天,6个月,1.美术、广告、视觉传达等相关专业；需要有作品集（必须）,本科,3,2024-04-22 14:25,凯捷咨询,3001人及以上,上海,咨询/法律/人力资源
演出制作实习生,150-200元/天,长期,1、演出项目报批资料整理；,本科,5,2024-04-22 11:53,四海一家,11~50人,北京,广告|传媒|文化|体育
（可实习）销售代表——朝九晚六,5-6K/月,长期,知道番禺星力动漫产业园吗？,大专,2,2024-05-07 16:57,福礼科技,11~50人,广东,互联网|游戏|软件
新媒体运营（实习）,3-4K/月,3个月,1.进行内容创作和编辑，根据新媒体矩阵定位发布及运营相关内容；定期进行渠道研究和用户分析；,本科,2,2024-05-01 16:23,刺猬 CIWEI,51~100人,广东,互联网|游戏|软件
人事助理实习生,150-180元/天,3个月,1、辅助人事总监搜寻合适的简历,本科,1,2024-05-07 15:54,乐满意,51~100人,上海,生活服务
音乐搜索劳务实习生,100-150元/天,3个月,参与产品：Q音、joox,本科,1,2024-05-07 11:02,腾讯音乐,1001~3000人,广东,互联网|游戏|软件
活动策划实习生,150-180元/天,3个月,职位描述：,本科,1,2024-05-07 10:45,乐满意,51~100人,上海,生活服务
行政人事实习生,100-110元/天,3个月,1、协助管理日常行政事务工作，不限于文件资料的打印、复印、刊例分发、办公用品的申购、领用等,大专,1,2024-05-16 12:55,《嘉人》杂志,51~100人,上海,广告|传媒|文化|体育
销售支持实习生,100-110元/天,6个月,1.协助拍摄以及各项目的跟进及现场support；,本科,2,2024-05-16 12:55,《嘉人》杂志,51~100人,上海,广告|传媒|文化|体育
视频剪辑实习生（短期内到岗）,120-150元/天,3个月,负责线上媒体平台视频剪辑、前期拍摄与后期处理工作:及其它宣传相关视频的剪辑、制作、调色等工作。,本科,1,2024-05-10 10:36,Arris川岸,11~50人,广东,广告|传媒|文化|体育
短视频运营实习生,200-240元/天,4个月,1、主要负责带货类短视频的内容制作，包含：根据编导脚本需求，完成产品拍摄与后期剪辑；必要时 独立进行脚本创作。,本科,1,2024-05-16 12:03,凯声文化传媒,301~1000人,北京,互联网|游戏|软件
咨询实习生,150-180元/天,长期,【岗位职责】,本科,3,2024-05-06 10:46,菁正咨询,11~50人,北京,咨询/法律/人力资源
审计实习生（广州）,80-81元/天,2个月,岗位职责：,本科,20,2024-04-30 09:12,广东司农,301~1000人,广东,咨询/法律/人力资源
内容编辑实习生,面议,3个月,（1）【文章挖掘】文章获得授权，并编辑/排版/发布到人人都是经理及其旗下内容平台,本科,10,2024-05-13 14:22,人人都是产品经理,101~300人,广东,教育培训
